,Are you self-employed?,How many employees does your company or organization have?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided health coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?",Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Have you ever discussed your mental health with your employer?,Would you feel comfortable discussing a mental health issue with your coworkers?,Have you ever discussed your mental health with coworkers?,Have you ever had a coworker discuss their or another coworker's mental health with you?,"Overall, how much importance does your employer place on physical health?","Overall, how much importance does your employer place on mental health?",Do you have medical coverage (private insurance or state-provided) that includes treatment of mental health disorders?,Do you know local or online resources to seek help for a mental health issue?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health disorder to a client or business contact, how has this affected you or the relationship?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health disorder to a coworker or employee, how has this impacted you or the relationship?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Was your employer primarily a tech company/organization?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Did you ever discuss your mental health with your previous employer?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,"Overall, how much importance did your previous employer place on physical health?","Overall, how much importance did your previous employer place on mental health?",Do you currently have a mental health disorder?,Have you ever been diagnosed with a mental health disorder?,Have you had a mental health disorder in the past?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Do you have a family history of mental illness?,"If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?",Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,How willing would you be to share with friends and family that you have a mental illness?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Are you openly identified at work as a person with a mental health issue?,Has being identified as a person with a mental health issue affected your career?,How has it affected your career?,"If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?",Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,"Overall, how well do you think the tech industry supports employees with mental health issues?",What is your age?,What is your gender?,What country do you live in?,What US state or territory do you live in?,What is your race?,What country do you work in?,What US state or territory do you work in?,What disorder(s) have you been diagnosed with?,"If possibly, what disorder(s) do you believe you have?","If so, what disorder(s) were you diagnosed with?",comments
0,0,100-500,1.0,1.0,No,Yes,No,I don't know,I don't know,I don't know,Same level of comfort for each,Yes,0.0,Yes,1.0,1.0,6.0,0.0,,,,,,,,,1,0.0,I don't know,N/A (was not aware),Some did,Some did,"Yes, always",Physical health,"Yes, all of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,3.0,3.0,Possibly,,Possibly,1,No,Sometimes,Sometimes,No,5,Yes,No,0.0,,,10.0,"Yes, I experienced","Yes, I experienced",1.0,27.0,Female,United Kingdom,,,United Kingdom,,,"Anxiety Disorder (Generalized, Social, Phobia, etc)",,"Spoke about my anxiety they were very supportive, they spoke about their depression, i offered my support , They don't take it seriously"
1,0,100-500,1.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Same level of comfort for each,Maybe,0.0,Yes,1.0,1.0,7.0,2.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,1.0,0.0,5.0,2.0,Possibly,,Possibly,0,No,Not applicable to me,Sometimes,No,4,Yes,No,0.0,,,6.0,"Yes, I observed",Maybe/Not sure,2.0,31.0,male,United Kingdom,,,United Kingdom,,,"Mood Disorder (Depression, Bipolar Disorder, etc)",,"the coworker was comprehensive, empathetic and understanding, a discussion about symptoms of depression, and that coworker's struggle on a project, understanding and supportive, During a discussion about ""mental health first aider"" at work, a coworker dismissed the whole idea, saying that ""no one here suffers from Mental Health Disorder"", raise awareness, talk about it to lessen the stigma"
2,0,6-25,1.0,1.0,I don't know,No,I don't know,No,Yes,Difficult,Same level of comfort for each,Yes,1.0,Maybe,1.0,0.0,0.0,1.0,,,,,,,,,1,1.0,Some did,N/A (was not aware),None did,None did,I don't know,Physical health,"No, none of my previous supervisors",0.0,At some of my previous employers,1.0,0.0,8.0,0.0,Yes,Yes,Yes,1,Yes,Sometimes,Sometimes,Yes,5,Maybe,No,1.0,1.0,3.0,5.0,"Yes, I experienced","Yes, I experienced",1.0,36.0,male,United States of America,Missouri,White,United States of America,Missouri,,,"Anxiety Disorder (Generalized, Social, Phobia, etc), Mood Disorder (Depression, Bipolar Disorder, etc), Substance Use Disorder","The conversation went well, he too suffers mental illness... however, I was just fired for having a mental illness episode and not being about to get my work done., They all seemed understanding and some even admitted to having some issues themselves, The ones that I discussed it with were actually close friends, so they were always aware, I was suffering depression and I was open about that, that is why my numbers fell, but then I started drinking too much and admitted myself into a detox/psych facility to get better... 5 days later I get out to find myself fired, Education and awareness, statistics, add supportive writing to the company handbook"
3,0,More than 1000,1.0,1.0,Yes,Yes,I don't know,I don't know,Yes,Difficult,Same level of comfort for each,Yes,1.0,Yes,1.0,0.0,7.0,5.0,,,,,,,,,0,,,,,,,,,,,,,,,Yes,Yes,No,1,I don't know,Sometimes,Often,No,10,No,No,0.0,,,5.0,Maybe/Not sure,Maybe/Not sure,2.0,22.0,Male,United States of America,Washington,White,United States of America,Washington,,,Attention Deficit Hyperactivity Disorder,"Direct Manager and HR know because of medication. No real reactions, Coworkers that have become friends with me are supportive, More support, less burnout and death marches"
4,1,,,,,,,,,,,,,,,,,,0.0,"Yes, I know several","Sometimes, if it comes up",No change,"No, because it doesn't matter",No change,Yes,1-25%,1,0.0,"No, none did",N/A (none offered),None did,None did,"Yes, always",Same level of comfort for each,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",1.0,1.0,8.0,8.0,No,,Yes,1,Yes,Often,Sometimes,No,10,Maybe,No,0.0,,,4.0,No,"Yes, I observed",1.0,52.0,female,United States of America,Illinois,More than one of the above,United States of America,Illinois,,,,"I'm in mental heatlh so I talk about it often., They talked about as caregivers of family member., I think tech is more internal and they don't really talk about feelings or issues., nope"
5,0,100-500,1.0,0.0,Yes,No,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,0.0,Maybe,0.0,0.0,9.0,5.0,,,,,,,,,1,1.0,"No, none did",I was aware of some,None did,Some did,"Yes, always",Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,0.0,7.0,3.0,No,,No,0,Yes,Rarely,Not applicable to me,Maybe,5,Maybe,No,0.0,,,4.0,"Yes, I observed","Yes, I observed",2.0,30.0,male,United States of America,California,White,United States of America,California,,,,"Awareness, changed work schedules and expectations"
6,0,6-25,1.0,1.0,Yes,Yes,No,No,Yes,Very easy,Same level of comfort for each,Yes,0.0,No,1.0,1.0,10.0,10.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,"Yes, always",Same level of comfort for each,Some of my previous supervisors,1.0,At some of my previous employers,1.0,1.0,10.0,10.0,Yes,Yes,No,1,Yes,Rarely,Often,No,8,No,No,1.0,0.0,,5.0,No,"Yes, I observed",2.0,36.0,F,United States of America,Washington,Asian,United States of America,Washington,,,"Mood Disorder (Depression, Bipolar Disorder, etc), Attention Deficit Hyperactivity Disorder","I've talked about my depression with coworkers in the past. They were good listeners and very supportive., A colleague was experiencing extreme anxiety at work. I listened and provided support., I've mentioned ADHD and anxiety before but in a casual manner., I've had conversations about depression with colleagues. They were supportive., We were very concerned about her, it was affecting her work. We talked about how to help her build her confidence back up., Be more vocal about supporting employees with issues, and supporting mental health time off."
7,0,26-100,1.0,1.0,Yes,No,No,No,I don't know,Somewhat easy,Physical health,Yes,0.0,Maybe,0.0,1.0,10.0,8.0,,,,,,,,,1,1.0,Some did,I was aware of some,None did,None did,I don't know,Physical health,Some of my previous supervisors,0.0,At some of my previous employers,0.0,1.0,5.0,5.0,No,,No,1,Yes,Not applicable to me,Not applicable to me,No,3,No,No,0.0,,,7.0,No,"Yes, I observed",2.0,38.0,Female,United States of America,Georgia,White,United States of America,Georgia,,,,"One of my coworkers took a month off due to burn out and we talked about it afterward. I admired him so much for doing that, A co-worker discussed their addiction with me, but had sought treatment outside of the work environment, I think we over work ourselves and each other. We expect everyone to be connected all the time and humans just weren't meant to work to this degree. We need to cut each other more slack"
8,0,100-500,0.0,1.0,I don't know,No,No,No,Yes,Very easy,Same level of comfort for each,Maybe,0.0,Maybe,0.0,0.0,9.0,7.0,,,,,,,,,1,1.0,"No, none did",N/A (was not aware),None did,None did,"Yes, always",Physical health,"No, none of my previous supervisors",0.0,"No, at none of my previous employers",0.0,0.0,9.0,6.0,Don't Know,,No,0,I don't know,Not applicable to me,Not applicable to me,Maybe,6,No,No,0.0,,,5.0,No,"Yes, I experienced",2.0,35.0,Male,Switzerland,,,Switzerland,,,,,Don’t know 
9,1,,,,,,,,,,,,,,,,,,1.0,"No, I don't know any","Sometimes, if it comes up",I'm not sure,"Sometimes, if it comes up",No change,Unsure,,1,1.0,Some did,I was aware of some,Some did,Some did,Sometimes,Mental health,Some of my previous supervisors,1.0,At some of my previous employers,1.0,0.0,2.0,2.0,Possibly,,No,1,No,Often,Sometimes,No,4,Maybe,No,1.0,1.0,2.0,4.0,"Yes, I experienced","Yes, I experienced",3.0,36.0,male,India,,,India,,,Attention Deficit Hyperactivity Disorder,,"ok, OK, ok, ok, ok"
